[2026-08-30T11:20:00+00:00] RUN paper-full-20260830 | minimal-diff-notebook | FULL_PAPER_RUN | artifacts=D:\Rayan Paper materials\artifacts_runs\minimal-diff-notebook\FULL_PAPER_RUN\paper-full-20260830 | cuda=0MiB allocated/0MiB reserved
[2026-08-30T11:21:36+00:00] epoch 25/40 loss=0.516412 elapsed=12.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:36+00:00] epoch 26/40 loss=0.547115 elapsed=12.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:37+00:00] epoch 27/40 loss=0.588359 elapsed=13.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:37+00:00] epoch 28/40 loss=0.618757 elapsed=13.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:38+00:00] epoch 29/40 loss=0.651623 elapsed=14.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:38+00:00] epoch 30/40 loss=0.685560 elapsed=14.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:39+00:00] epoch 31/40 loss=0.717409 elapsed=15.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:39+00:00] epoch 32/40 loss=0.752707 elapsed=15.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:40+00:00] epoch 33/40 loss=0.779330 elapsed=16.4s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:40+00:00] epoch 34/40 loss=0.816714 elapsed=16.9s | cuda=583MiB allocated/4822MiB reserved
[2026-08-30T11:21:41+00:00] epoch 35/40 loss=0.843231 elapsed=17.4s | cuda=583MiB allocated/4822MiB reserved
